observed_at_utc,work,edition_scope,provider,provider_id,endpoint_or_reference,field,raw_value,semantic_interpretation,http_or_page_status,provider_updated_at,confidence,notes
2026-09-22,Fullmetal Alchemist,MU series record,MangaUpdates,19001585632,https://api.mangaupdates.com/v1/series/19001585632,latest_chapter,150,"latest chapter field, not count",HTTP 200,2026-09-20T11:16:08-07:00,high for raw value; medium/low for editorial semantic,"Description/status supplies context for FMA, CSM, Berserk; other values unresolved."
2026-09-22,Fullmetal Alchemist,MangaDex title record + upload aggregate,MangaDex,dd8a907a-3850-4f95-ba03-ba201a8399e3,https://api.mangadex.org/manga/dd8a907a-3850-4f95-ba03-ba201a8399e3,manga.lastChapter; aggregate maximum integer label,lastChapter=108; aggregate max integer=108; maximum label=108.7,"catalog lastChapter if populated; aggregate max is upload label, not editorial count",HTTP 200 detail + aggregate,2026-07-12T03:15:30+00:00,high for raw API; low for editorial meaning,Aggregate data may vary by uploads/language/group; no chapter inventory claimed.
2026-09-22,Chainsaw Man,provider record; edition semantics not specified,Kitsu,54139,https://kitsu.io/api/edge/manga/54139,chapterCount,97,Kitsu count field; scope undefined,HTTP 200,2026-09-22T18:00:28.019Z,high for raw value; low for editorial meaning,Direct GET 2026-09-22; status current/finished separately in report.
2026-09-22,Chainsaw Man,provider record; edition semantics not specified,MangaBaka,1677,https://api.mangabaka.org/v1/series/1677,total_chapters,232,single numeric/string field; no edition/type/provenance,HTTP 200,2026-09-22T20:37:15.098Z,high for raw value; low for provenance/meaning,Direct GET 2026-09-22; IDs crosslink Kitsu/MU etc but do not prove field source.
2026-09-22,Chainsaw Man,MU series record,MangaUpdates,75336092483,https://api.mangaupdates.com/v1/series/75336092483,latest_chapter,232,"latest chapter field, not count",HTTP 200,2026-09-19T17:05:19-07:00,high for raw value; medium/low for editorial semantic,"Description/status supplies context for FMA, CSM, Berserk; other values unresolved."
2026-09-22,Chainsaw Man,MangaDex title record + upload aggregate,MangaDex,a77742b1-befd-49a4-bff5-1ad4e6b0ef7b,https://api.mangadex.org/manga/a77742b1-befd-49a4-bff5-1ad4e6b0ef7b,manga.lastChapter; aggregate maximum integer label,lastChapter=232; aggregate max integer=232,"catalog lastChapter if populated; aggregate max is upload label, not editorial count",HTTP 200 detail + aggregate,2026-03-24T15:18:24+00:00,high for raw API; low for editorial meaning,Aggregate data may vary by uploads/language/group; no chapter inventory claimed.
2026-09-22,Blue Lock,provider record; edition semantics not specified,Kitsu,53928,https://kitsu.io/api/edge/manga/53928,chapterCount,null,Kitsu count field; scope undefined,HTTP 200,2026-09-22T18:47:16.512Z,high for raw value; low for editorial meaning,Direct GET 2026-09-22; status current/finished separately in report.
2026-09-22,Blue Lock,provider record; edition semantics not specified,MangaBaka,83,https://api.mangabaka.org/v1/series/83,total_chapters,342,single numeric/string field; no edition/type/provenance,HTTP 200,2026-09-22T06:03:29.915Z,high for raw value; low for provenance/meaning,Direct GET 2026-09-22; IDs crosslink Kitsu/MU etc but do not prove field source.
2026-09-22,Blue Lock,MU series record,MangaUpdates,42866050067,https://api.mangaupdates.com/v1/series/42866050067,latest_chapter,272,"latest chapter field, not count",HTTP 200,2026-09-15T02:20:20-07:00,high for raw value; medium/low for editorial semantic,"Description/status supplies context for FMA, CSM, Berserk; other values unresolved."
2026-09-22,Blue Lock,MangaDex title record + upload aggregate,MangaDex,4141c5dc-c525-4df5-afd7-cc7d192a832f,https://api.mangadex.org/manga/4141c5dc-c525-4df5-afd7-cc7d192a832f,manga.lastChapter; aggregate maximum integer label,lastChapter=blank; aggregate max integer=362,"catalog lastChapter if populated; aggregate max is upload label, not editorial count",HTTP 200 detail + aggregate,2026-08-04T15:48:05+00:00,high for raw API; low for editorial meaning,Aggregate data may vary by uploads/language/group; no chapter inventory claimed.
2026-09-22,Kingdom,provider record; edition semantics not specified,Kitsu,3480,https://kitsu.io/api/edge/manga/3480,chapterCount,null,Kitsu count field; scope undefined,HTTP 200,2026-09-22T18:00:28.019Z,high for raw value; low for editorial meaning,Direct GET 2026-09-22; status current/finished separately in report.
2026-09-22,Kingdom,provider record; edition semantics not specified,MangaBaka,1797,https://api.mangabaka.org/v1/series/1797,total_chapters,877,single numeric/string field; no edition/type/provenance,HTTP 200,2026-09-22T19:37:29.870Z,high for raw value; low for provenance/meaning,Direct GET 2026-09-22; IDs crosslink Kitsu/MU etc but do not prove field source.
2026-09-22,Kingdom,MU series record,MangaUpdates,4324727424,https://api.mangaupdates.com/v1/series/4324727424,latest_chapter,832,"latest chapter field, not count",HTTP 200,2026-09-20T06:55:09-07:00,high for raw value; medium/low for editorial semantic,"Description/status supplies context for FMA, CSM, Berserk; other values unresolved."
2026-09-22,Kingdom,MangaDex title record + upload aggregate,MangaDex,077a3fed-1634-424f-be7a-9a96b7f07b78,https://api.mangadex.org/manga/077a3fed-1634-424f-be7a-9a96b7f07b78,manga.lastChapter; aggregate maximum integer label,lastChapter=blank; aggregate max integer=885,"catalog lastChapter if populated; aggregate max is upload label, not editorial count",HTTP 200 detail + aggregate,2026-04-22T06:22:50+00:00,high for raw API; low for editorial meaning,Aggregate data may vary by uploads/language/group; no chapter inventory claimed.
2026-09-22,One-Punch Man,English VIZ Shonen Jump digital list,VIZ,,https://www.viz.com/shonenjump/chapters/one-punch-man,latest listed chapter,237,rótulo listado por edição/serviço VIZ; not universal total,official page consulted,2026-09-16 entry,high for this edition/list,Search result/page lists Chapter 237; exact English service page.
2026-09-22,One-Punch Man,Japanese Tonari no Young Jump,Shueisha / Tonari,,https://tonarinoyj.jp/episode/2550912966094393927/embed,episode label,257,rótulo de episódio oficial japonês,official episode page,observed 2026-09-22,high for page label; no cross-edition mapping,Different service/edition; no universal numeric reconciliation.
2026-09-22,Berserk,Young Animal serialization,Hakusensha / Young Animal,,https://magazine.younganimal.com/berserk/comics/,issue/release page,No chapter number exposed on inspected page,"publisher/issue/volume reference, not chapter inventory",official page consulted,2026-09-22,medium,Official page supports volumes/series; current chapter exact label not confirmed there.
2026-09-22,Berserk,Japanese serial reported,Bessatsu (secondary; not publisher),,https://www.google.com/search?q=Berserk+chapters+399+401+Young+Animal+2026,reported chapters,399–401,secondary report of three installments; not primary confirmation,secondary page referenced,2026-08,low/secondary,Do not treat as publisher-confirmed; see report.
2026-09-22,Fullmetal Alchemist,WEBTOON licensed digital re-publication,WEBTOON / Square Enix,,https://www.webtoons.com/en/graphic-novel/fullmetal-alchemist/list?title_no=7862,latest episode listed,150,episode index in WEBTOON edition; not original serialization count,official page consulted,2026-09-19,high for edition-specific label,Official creator/copyright attribution; MU explicitly identifies 150 webtoon chapters.
2026-09-22,Chainsaw Man,"Japanese Shonen Jump+ serial, part 2",Shueisha / Shonen Jump+,,https://shonenjumpplus.com/episode/17107094915254021268,episode label,第232話 / 232,official episode label; latest observed page; not derived count,official episode page,2026-03-25,high for label/date,Page shows chapter 232 and completion status.
2026-09-22,Blue Lock,Japanese Magazine Pocket,Kodansha / Magazine Pocket,,https://pocket.shonenmagazine.com/title/00617/episode/435033,episode label,第342話 / 342,official episode label as of page publication; not confirmed current max,official episode page,2026-04-08,high for historical label; low currentness,Search did not find current #362 official text page.
2026-09-22,Kingdom,Japanese Shonen Jump+,Shueisha / Shonen Jump+,,https://shonenjumpplus.com/episode/9253191256477089548,episode label,第871話 / 871,official episode label/date; not count,official episode page,2026-09-10,high for label/date,Directly conflicts with MU 832 snapshot; does not explain Baka 877/MD 885.
