observed_at_utc,record_type,work,source,source_id_or_slug,source_url,edition_language,extension_version,chapter_label,site_or_api_observation,addon_raw_inventory_boundary_B,tsuzuki_snapshot_evidence_boundary_C,ui_observation_boundary_D,chapter_or_upload_id,scanlation_group,pages_metadata_only,external_url,verification,notes
2026-09-22,label_probe,One-Punch Man,MangaDex public API,d8a959f7-648e-4c8d-8f23-f1f3f8e129f3,https://mangadex.org/title/d8a959f7-648e-4c8d-8f23-f1f3f8e129f3?tab=chapters&order=asc,pt-br,,137,no record with this exact raw label in 169-row PT-BR snapshot,NOT_TESTED (not installed),NOT_TESTED,NOT_TESTED,,,,,HTTP 200 metadata only,Absence under this language/filter/snapshot is not editorial nonexistence and not a claim about other languages/editions.
2026-09-22,label_probe,One-Punch Man,MangaDex public API,d8a959f7-648e-4c8d-8f23-f1f3f8e129f3,https://mangadex.org/title/d8a959f7-648e-4c8d-8f23-f1f3f8e129f3?tab=chapters&order=asc,pt-br,,138,no record with this exact raw label in 169-row PT-BR snapshot,NOT_TESTED (not installed),NOT_TESTED,NOT_TESTED,,,,,HTTP 200 metadata only,Absence under this language/filter/snapshot is not editorial nonexistence and not a claim about other languages/editions.
2026-09-22,label_probe,One-Punch Man,MangaDex public API,d8a959f7-648e-4c8d-8f23-f1f3f8e129f3,https://mangadex.org/title/d8a959f7-648e-4c8d-8f23-f1f3f8e129f3?tab=chapters&order=asc,pt-br,,139,no record with this exact raw label in 169-row PT-BR snapshot,NOT_TESTED (not installed),NOT_TESTED,NOT_TESTED,,,,,HTTP 200 metadata only,Absence under this language/filter/snapshot is not editorial nonexistence and not a claim about other languages/editions.
2026-09-22,label_probe,One-Punch Man,MangaDex public API,d8a959f7-648e-4c8d-8f23-f1f3f8e129f3,https://mangadex.org/title/d8a959f7-648e-4c8d-8f23-f1f3f8e129f3?tab=chapters&order=asc,pt-br,,233,no record with this exact raw label in 169-row PT-BR snapshot,NOT_TESTED (not installed),NOT_TESTED,NOT_TESTED,,,,,HTTP 200 metadata only,Absence under this language/filter/snapshot is not editorial nonexistence and not a claim about other languages/editions.
2026-09-22,label_probe,One-Punch Man,MangaDex public API,d8a959f7-648e-4c8d-8f23-f1f3f8e129f3,https://mangadex.org/title/d8a959f7-648e-4c8d-8f23-f1f3f8e129f3?tab=chapters&order=asc,pt-br,,234,no record with this exact raw label in 169-row PT-BR snapshot,NOT_TESTED (not installed),NOT_TESTED,NOT_TESTED,,,,,HTTP 200 metadata only,Absence under this language/filter/snapshot is not editorial nonexistence and not a claim about other languages/editions.
2026-09-22,label_probe,One-Punch Man,MangaFire website / Mihon Add-on,729pj-one-punch-man,https://mangafire.to/title/729pj-one-punch-man,unknown,unknown,1,not verified by available text fetch,NOT_TESTED,NOT_TESTED,not individually observed,,,,,unresolved: no device/Add-on; no usable website chapter list,User report says MangaFire extends to #234 but this label-level availability was not independently verified.
2026-09-22,label_probe,One-Punch Man,MangaBall website / Mihon Add-on,one-punch-man-68515501702284f83417844d,https://mangaball.net/title-detail/one-punch-man-68515501702284f83417844d/,unknown (page offers All filter),unknown,1,no row in extracted page text (page summary reported 0 chapters/0 translations),NOT_TESTED,NOT_TESTED,NOT_TESTED,,,,,public text snapshot only; interactive/session and Add-on unavailable,Do not interpret absent extracted HTML row as proof of universal unavailability.
2026-09-22,label_probe,One-Punch Man,MangaFire website / Mihon Add-on,729pj-one-punch-man,https://mangafire.to/title/729pj-one-punch-man,unknown,unknown,2,not verified by available text fetch,NOT_TESTED,NOT_TESTED,not individually observed,,,,,unresolved: no device/Add-on; no usable website chapter list,User report says MangaFire extends to #234 but this label-level availability was not independently verified.
2026-09-22,label_probe,One-Punch Man,MangaBall website / Mihon Add-on,one-punch-man-68515501702284f83417844d,https://mangaball.net/title-detail/one-punch-man-68515501702284f83417844d/,unknown (page offers All filter),unknown,2,no row in extracted page text (page summary reported 0 chapters/0 translations),NOT_TESTED,NOT_TESTED,NOT_TESTED,,,,,public text snapshot only; interactive/session and Add-on unavailable,Do not interpret absent extracted HTML row as proof of universal unavailability.
2026-09-22,label_probe,One-Punch Man,MangaFire website / Mihon Add-on,729pj-one-punch-man,https://mangafire.to/title/729pj-one-punch-man,unknown,unknown,137,not verified by available text fetch,NOT_TESTED,NOT_TESTED,not individually observed,,,,,unresolved: no device/Add-on; no usable website chapter list,User report says MangaFire extends to #234 but this label-level availability was not independently verified.
2026-09-22,label_probe,One-Punch Man,MangaBall website / Mihon Add-on,one-punch-man-68515501702284f83417844d,https://mangaball.net/title-detail/one-punch-man-68515501702284f83417844d/,unknown (page offers All filter),unknown,137,no row in extracted page text (page summary reported 0 chapters/0 translations),NOT_TESTED,NOT_TESTED,NOT_TESTED,,,,,public text snapshot only; interactive/session and Add-on unavailable,Do not interpret absent extracted HTML row as proof of universal unavailability.
2026-09-22,label_probe,One-Punch Man,MangaFire website / Mihon Add-on,729pj-one-punch-man,https://mangafire.to/title/729pj-one-punch-man,unknown,unknown,138,not verified by available text fetch,NOT_TESTED,NOT_TESTED,human smoke reported first displayed #138; no row IDs/logs,,,,,unresolved: no device/Add-on; no usable website chapter list,User report says MangaFire extends to #234 but this label-level availability was not independently verified.
2026-09-22,label_probe,One-Punch Man,MangaBall website / Mihon Add-on,one-punch-man-68515501702284f83417844d,https://mangaball.net/title-detail/one-punch-man-68515501702284f83417844d/,unknown (page offers All filter),unknown,138,no row in extracted page text (page summary reported 0 chapters/0 translations),NOT_TESTED,NOT_TESTED,NOT_TESTED,,,,,public text snapshot only; interactive/session and Add-on unavailable,Do not interpret absent extracted HTML row as proof of universal unavailability.
2026-09-22,label_probe,One-Punch Man,MangaFire website / Mihon Add-on,729pj-one-punch-man,https://mangafire.to/title/729pj-one-punch-man,unknown,unknown,139,not verified by available text fetch,NOT_TESTED,NOT_TESTED,not individually observed,,,,,unresolved: no device/Add-on; no usable website chapter list,User report says MangaFire extends to #234 but this label-level availability was not independently verified.
2026-09-22,label_probe,One-Punch Man,MangaBall website / Mihon Add-on,one-punch-man-68515501702284f83417844d,https://mangaball.net/title-detail/one-punch-man-68515501702284f83417844d/,unknown (page offers All filter),unknown,139,no row in extracted page text (page summary reported 0 chapters/0 translations),NOT_TESTED,NOT_TESTED,NOT_TESTED,,,,,public text snapshot only; interactive/session and Add-on unavailable,Do not interpret absent extracted HTML row as proof of universal unavailability.
2026-09-22,label_probe,One-Punch Man,MangaFire website / Mihon Add-on,729pj-one-punch-man,https://mangafire.to/title/729pj-one-punch-man,unknown,unknown,233,not verified by available text fetch,NOT_TESTED,NOT_TESTED,not individually observed,,,,,unresolved: no device/Add-on; no usable website chapter list,User report says MangaFire extends to #234 but this label-level availability was not independently verified.
2026-09-22,label_probe,One-Punch Man,MangaBall website / Mihon Add-on,one-punch-man-68515501702284f83417844d,https://mangaball.net/title-detail/one-punch-man-68515501702284f83417844d/,unknown (page offers All filter),unknown,233,no row in extracted page text (page summary reported 0 chapters/0 translations),NOT_TESTED,NOT_TESTED,NOT_TESTED,,,,,public text snapshot only; interactive/session and Add-on unavailable,Do not interpret absent extracted HTML row as proof of universal unavailability.
2026-09-22,label_probe,One-Punch Man,MangaFire website / Mihon Add-on,729pj-one-punch-man,https://mangafire.to/title/729pj-one-punch-man,unknown,unknown,234,not verified by available text fetch,NOT_TESTED,NOT_TESTED,not individually observed,,,,,unresolved: no device/Add-on; no usable website chapter list,User report says MangaFire extends to #234 but this label-level availability was not independently verified.
2026-09-22,label_probe,One-Punch Man,MangaBall website / Mihon Add-on,one-punch-man-68515501702284f83417844d,https://mangaball.net/title-detail/one-punch-man-68515501702284f83417844d/,unknown (page offers All filter),unknown,234,no row in extracted page text (page summary reported 0 chapters/0 translations),NOT_TESTED,NOT_TESTED,NOT_TESTED,,,,,public text snapshot only; interactive/session and Add-on unavailable,Do not interpret absent extracted HTML row as proof of universal unavailability.
2026-09-22,editorial_checkpoint,One-Punch Man,VIZ Shonen Jump,,https://www.viz.com/shonenjump/one-punch-man-chapter-138/chapter/22212,VIZ digital edition / EN,,137,VIZ official EN chapter adjacent/previous to #138,NOT_A_MIHON_ADDON,NOT_TESTED,NOT_TESTED,,,,,official catalog/chapter navigation observed; gated Join to read; no pages opened,VIZ edition labels are not universal across manga/web/magazine or scanlation editions; no integration/license implied.
2026-09-22,editorial_checkpoint,One-Punch Man,VIZ Shonen Jump,,https://www.viz.com/shonenjump/one-punch-man-chapter-138/chapter/22212,VIZ digital edition / EN,,138,"VIZ official EN #138; previous #137, next #139",NOT_A_MIHON_ADDON,NOT_TESTED,NOT_TESTED,,,,,official catalog/chapter navigation observed; gated Join to read; no pages opened,VIZ edition labels are not universal across manga/web/magazine or scanlation editions; no integration/license implied.
2026-09-22,editorial_checkpoint,One-Punch Man,VIZ Shonen Jump,,https://www.viz.com/shonenjump/one-punch-man-chapter-138/chapter/22212,VIZ digital edition / EN,,139,VIZ official EN chapter adjacent/next to #138,NOT_A_MIHON_ADDON,NOT_TESTED,NOT_TESTED,,,,,official catalog/chapter navigation observed; gated Join to read; no pages opened,VIZ edition labels are not universal across manga/web/magazine or scanlation editions; no integration/license implied.
2026-09-22,editorial_checkpoint,One-Punch Man,VIZ Shonen Jump,,https://www.viz.com/shonenjump/one-punch-man-chapter-234/chapter/50927,VIZ digital edition / EN,,233,VIZ official EN #233 previous to #234,NOT_A_MIHON_ADDON,NOT_TESTED,NOT_TESTED,,,,,official catalog/chapter navigation observed; gated Join to read; no pages opened,VIZ edition labels are not universal across manga/web/magazine or scanlation editions; no integration/license implied.
2026-09-22,editorial_checkpoint,One-Punch Man,VIZ Shonen Jump,,https://www.viz.com/shonenjump/one-punch-man-chapter-234/chapter/50927,VIZ digital edition / EN,,234,"VIZ official EN #234; previous #233, next #235",NOT_A_MIHON_ADDON,NOT_TESTED,NOT_TESTED,,,,,official catalog/chapter navigation observed; gated Join to read; no pages opened,VIZ edition labels are not universal across manga/web/magazine or scanlation editions; no integration/license implied.
